name;protein;fats;carbohydrate;calorie
Сырок творожный глазированный «Молочная страна» чизкейк, 18%, 45 г;7.9;22.4;34.7;370
Творог «Вiцебскае малако» 1%, 300 г;16;1;1.3;78.2
Творог «Вiцебскае малако» 6%, 300 г;15;6;1.5;120
Сырок творожный глазированный «Молочная страна» ваниль, 23%, 45 г;10.2;25.3;32.1;400
Сырок творожный «Савушкин» курага, 9%, 100 г;10;9;16.3;186.2
Сырок творожный глазированный «Молочная страна» Картошка, 18%, 45 г;6.7;22.8;35.8;380
Яблоко «Джонагоред»;0.4;0.4;12.1;46
Творог «Ясь Белоус» классический, 5%, 400 г;15;5;1.5;111
Творог «Славянские традиции» классический, 2%, 180 г;16;2;1.3;85
Творог «Минская марка» классический, 5%, 180 г;15;5;1.5;110
Молочный коктейль «Молочный гостинец» карамель-ирис, 2.5%, 210 г;2.8;2.5;9.7;75
Яйца перепелиные, 12 шт;12.8;0.6;13;168
Яйца перепелиные, 14 шт;12.8;0.6;13;168
Яйца перепелиные, 20 шт;12.8;0.6;13;168
Сыр полутвердый «Брест-Литовск» Маасдам, 45%, 200 г;25.4;26.1;0;336.5
Творог «Савушкин» рассыпчатый, 5%, 500 г;16.5;5;1.5;117
Желе из молочной сыворотки «Yoguru» ананас, 150 г;2.1;16;70;/
Желе из молочной сыворотки «Yoguru» клубника, 150 г;2.1;16;70;/
Желе из молочной сыворотки «Yoguru» яблоко, 150 г;2.1;16;70;/
Творог «Минская марка» классический, 9%, 180 г;15;9;1.5;150
Пудинг творожный «Минская марка» пудинг шоколадный, 5%, 160 г;6.6;5;14;130
Кисломолочный напиток «Exponenta» Bio-Skyr 3 в 1, клубника-киви, 500 г;6;3;35;/
Кисломолочный напиток «Exponenta» Bio-Skyr 3 в 1, обезжиренный, 500 г;6;3;35;/
Ряженка «Брест-Литовск» 3.6%, 415 г;2.9;3.6;4.1;60.4
Сыр плавленый «Молочный гостинец» Дружба, 55%, 80 г;16.4;26.4;303;/
Малина быстрозамороженная, 450 г;5;20;/;85
Сырок творожный глазированный «Молочная страна» с мармеладом, 20%, 50 г;7.3;17.6;48.8;380
Йогурт «Yoguru» с фруктовым наполнителем клубника, 1.5%, 310 г;3.3;1.5;15.5;90
Йогурт «Yoguru» с фруктовым наполнителем черника, 1.5%, 310 г;3.3;1.5;15.5;90
Йогурт «Yoguru» с фруктовым наполнителем вишня, 1.5%, 310 г;3.3;1.5;15.5;90
Йогурт «Yoguru» с фруктовым наполнителем лесные ягоды, 1.5%, 310 г;3.3;1.5;15.5;90
Мороженое «28 копеек» Пломбир шоколадный, эскимо, 70 г;3.2;24;19.9;308
Творог «Минская марка» классический, 2%, 180 г;16;2;1.3;85
Кефир «Минская марка» 2.5%, 900 г;3.1;2.5;4;50
Биойогурт «Верховье» с вишней, черешней и асаи, 2.9%, 150 г;3.9;2.9;14.4;99.3
